Caso;Falta;Localizacao;Contingencia;Fase;TensaoModuloCurto;TensaoAnguloCurto;CorrenteModuloCurto;CorrenteAnguloCurto;BarraOrigem;TensaoModuloOrigem;TensaoAnguloOrigem;BarraDestino;TensaoModuloDestino;TensaoAnguloDestino;Circuito;CorrenteModuloCircuito;CorrenteAnguloCircuito;Identificacao;Impedancia_Ponto;Impedancia_Mod;Impedancia_Ang
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5243 NATAL2-RN069;0.372;-150.3;3T(04T3;0.0;0.0;04T3-5241-5243-3T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5243 NATAL2-RN069;0.0;0.0;3T(04T3;494.0;-89.1;04T3-5241-5243-3T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5243 NATAL2-RN069;0.544;-65.9;4T(04T4;513.0;-89.1;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5243 NATAL2-RN069;0.55;-113.8;4T(04T4;513.0;-89.1;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5243 NATAL2-RN069;1.0;90.0;4T(04T4;513.0;-89.1;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5243 NATAL2-RN069;0.628;-29.8;4T(04T4;0.0;0.0;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5243 NATAL2-RN069;0.372;-150.3;4T(04T4;0.0;0.0;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5243 NATAL2-RN069;0.0;0.0;4T(04T4;513.0;-89.1;04T4-5241-5243-4T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;0 -REFERENCIA-;1.0;0.0;10H(1x0030;19.0;-89.1;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;0 -REFERENCIA-;1.0;-120.0;10H(1x0030;19.0;-89.1;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;0 -REFERENCIA-;1.0;120.0;10H(1x0030;19.0;-89.1;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;0 -REFERENCIA-;1.0;0.0;10H(1x0030;0.0;0.0;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;0 -REFERENCIA-;0.0;0.0;10H(1x0030;0.0;0.0;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;0 -REFERENCIA-;0.0;0.0;10H(1x0030;19.0;-89.1;0030-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5245 NATAL3-RN230;0.225;-4.2;3L(04N3;4961.0;-83.9;04N3-5241-5245-3L;AB;23.04;-28.77
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5245 NATAL3-RN230;0.939;-110.6;3L(04N3;-541.0;-95.0;04N3-5241-5245-3L;AN;0.0;-94.19
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5245 NATAL3-RN230;0.915;111.1;3L(04N3;-541.0;-95.0;04N3-5241-5245-3L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5245 NATAL3-RN230;0.685;-0.1;3L(04N3;1831.0;-85.0;04N3-5241-5245-3L;BN;70.31;155.58
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5245 NATAL3-RN230;0.315;-179.8;3L(04N3;1831.0;-85.0;04N3-5241-5245-3L;CA;22.78;-160.87
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5245 NATAL3-RN230;0.146;-174.4;3L(04N3;1301.0;-80.9;04N3-5241-5245-3L;CN;69.51;23.48
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;0 REATOR_LINHA;0.0;0.0;10R(;0.0;0.0;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;0 REATOR_LINHA;0.0;0.0;10R(;0.0;0.0;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;0 REATOR_LINHA;0.0;0.0;10R(;6.0;-89.1;10R(-5241-0-10;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5241 NATAL2-RN230;0.0;0.0;5245 NATAL3-RN230;0.225;-4.2;4L(04N4;4937.0;-84.0;04N4-5241-5245-4L;AB;23.04;-28.77
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5241 NATAL2-RN230;0.953;-113.8;5245 NATAL3-RN230;0.939;-110.6;4L(04N4;-563.0;-94.1;04N4-5241-5245-4L;AN;0.0;-94.22
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5241 NATAL2-RN230;0.942;114.1;5245 NATAL3-RN230;0.915;111.1;4L(04N4;-563.0;-94.1;04N4-5241-5245-4L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5241 NATAL2-RN230;0.628;0.2;5245 NATAL3-RN230;0.685;-0.1;4L(04N4;1831.0;-85.0;04N4-5241-5245-4L;BN;71.01;155.52
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5241 NATAL2-RN230;0.372;179.7;5245 NATAL3-RN230;0.315;-179.8;4L(04N4;1831.0;-85.0;04N4-5241-5245-4L;CA;22.78;-160.87
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5241 NATAL2-RN230;0.256;-179.1;5245 NATAL3-RN230;0.146;-174.4;4L(04N4;1278.0;-81.1;04N4-5241-5245-4L;CN;70.21;23.42
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5222 CGDBPD-PB230;0.854;-0.7;1L(04V1;371.0;-78.4;04V1-5254-5222-1L;AB;337.24;-61.35
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5222 CGDBPD-PB230;0.967;-116.7;1L(04V1;-162.0;-81.8;04V1-5254-5222-1L;AN;210.03;-103.68
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5222 CGDBPD-PB230;0.97;116.6;1L(04V1;-162.0;-81.8;04V1-5254-5222-1L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5254 PARAIS-RN230;0.85;-0.2;5222 CGDBPD-PB230;0.929;-0.3;1L(04V1;178.0;-79.4;04V1-5254-5222-1L;BN;1007.58;-28.05
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5254 PARAIS-RN230;0.15;-178.7;5222 CGDBPD-PB230;0.071;-176.6;1L(04V1;178.0;-79.4;04V1-5254-5222-1L;CA;340.54;-140.44
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5254 PARAIS-RN230;0.053;-177.4;5222 CGDBPD-PB230;0.005;-154.7;1L(04V1;17.0;-56.8;04V1-5254-5222-1L;CN;1009.59;-158.18
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5241 NATAL2-RN230;0.0;0.0;1L(04N1;-1310.0;-79.5;04N1-5254-5241-1L;AB;100.82;119.52
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5241 NATAL2-RN230;0.953;-113.8;1L(04N1;474.0;-82.6;04N1-5254-5241-1L;AN;56.24;78.63
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5241 NATAL2-RN230;0.942;114.1;1L(04N1;474.0;-82.6;04N1-5254-5241-1L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5254 PARAIS-RN230;0.85;-0.2;5241 NATAL2-RN230;0.628;0.2;1L(04N1;-594.0;-80.3;04N1-5254-5241-1L;BN;490.97;150.38
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5254 PARAIS-RN230;0.15;-178.7;5241 NATAL2-RN230;0.372;179.7;1L(04N1;-594.0;-80.3;04N1-5254-5241-1L;CA;101.81;40.43
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5254 PARAIS-RN230;0.053;-177.4;5241 NATAL2-RN230;0.256;-179.1;1L(04N1;-122.0;-71.3;04N1-5254-5241-1L;CN;491.95;20.25
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5222 CGDBPD-PB230;0.854;-0.7;2L(04V2;371.0;-78.5;04V2-5254-5222-2L;AB;337.24;-61.35
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5222 CGDBPD-PB230;0.967;-116.7;2L(04V2;-162.0;-81.6;04V2-5254-5222-2L;AN;210.67;-103.41
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5222 CGDBPD-PB230;0.97;116.6;2L(04V2;-162.0;-81.6;04V2-5254-5222-2L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5254 PARAIS-RN230;0.85;-0.2;5222 CGDBPD-PB230;0.929;-0.3;2L(04V2;178.0;-79.4;04V2-5254-5222-2L;BN;1000.29;-29.0
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5254 PARAIS-RN230;0.15;-178.7;5222 CGDBPD-PB230;0.071;-176.6;2L(04V2;178.0;-79.4;04V2-5254-5222-2L;CA;340.54;-140.44
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5254 PARAIS-RN230;0.053;-177.4;5222 CGDBPD-PB230;0.005;-154.7;2L(04V2;17.0;-58.4;04V2-5254-5222-2L;CN;1002.28;-159.13
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5241 NATAL2-RN230;0.0;0.0;2L(04N2;-1315.0;-79.4;04N2-5254-5241-2L;AB;100.71;119.51
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5241 NATAL2-RN230;0.953;-113.8;2L(04N2;470.0;-82.9;04N2-5254-5241-2L;AN;55.93;78.55
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5241 NATAL2-RN230;0.942;114.1;2L(04N2;470.0;-82.9;04N2-5254-5241-2L;BC;9999.99;0.0
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5254 PARAIS-RN230;0.85;-0.2;5241 NATAL2-RN230;0.628;0.2;2L(04N2;-595.0;-80.3;04N2-5254-5241-2L;BN;503.53;150.97
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5254 PARAIS-RN230;0.15;-178.7;5241 NATAL2-RN230;0.372;179.7;2L(04N2;-595.0;-80.3;04N2-5254-5241-2L;CA;101.7;40.42
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5254 PARAIS-RN230;0.053;-177.4;5241 NATAL2-RN230;0.256;-179.1;2L(04N2;-127.0;-70.6;04N2-5254-5241-2L;CN;504.54;20.84
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5255 PARAIS-RN138;0.695;-0.1;1T(04T1;132.0;-79.3;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5255 PARAIS-RN138;0.955;-115.0;1T(04T1;-2.0;-84.2;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5255 PARAIS-RN138;0.956;115.0;1T(04T1;-2.0;-84.2;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;P;0.628;0.2;4848.0;-83.9;5254 PARAIS-RN230;0.85;-0.2;5255 PARAIS-RN138;0.866;-0.0;1T(04T1;45.0;-79.4;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;N;0.372;179.7;4848.0;-83.9;5254 PARAIS-RN230;0.15;-178.7;5255 PARAIS-RN138;0.134;-179.7;1T(04T1;45.0;-79.4;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;Z;0.256;-179.1;4848.0;-83.9;5254 PARAIS-RN230;0.053;-177.4;5255 PARAIS-RN138;0.037;179.6;1T(04T1;42.0;-79.1;04T1-5254-5255-1T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;A;0.0;0.0;14543.0;-83.9;5254 PARAIS-RN230;0.646;-0.8;5255 PARAIS-RN138;0.695;-0.1;2T(04T2;134.0;-78.8;04T2-5254-5255-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;B;0.953;-113.8;0.0;0.0;5254 PARAIS-RN230;0.954;-115.0;5255 PARAIS-RN138;0.955;-115.0;2T(04T2;-2.0;-83.7;04T2-5254-5255-2T;;;
1;FT;5241 NATAL2-RN230;Caso-Base;C;0.942;114.1;0.0;0.0;5254 PARAIS-RN230;0.956;114.9;5255 PARAIS-RN138;0.956;115.0;2T(04T2;-2.0;-83.7;04T2-5254-5255-2T;;;
